RNA	protein	label
ENST00000667723	A0A2R8Y5R2	0
ENST00000435044	Q15306	1
ENST00000661913	H7C192	0
ENST00000503718	Q92769	1
ENST00000418848	P11308	1
ENST00000653456	O00255	0
ENST00000563570	H7BYG8	0
ENST00000484721	P48431	1
ENST00000664685	Q04912	0
ENST00000425688	A0A804HIT4	0
ENST00000456917	O00425	1
ENST00000655994	A0A494C157	0
ENST00000525678	Q99081	1
ENST00000670795	I3L3W7	0
ENST00000652014	Q92835-2	0
ENST00000431095	Q6Q6R5	0
ENST00000670117	A0A286YFC6	0
ENST00000663789	P43694	1
ENST00000433534	Q5VWG9	1
ENST00000688786	Q9NRZ9-7	0
ENST00000634732	Q9NRC1	0
ENST00000687541	Q13740-2	0
ENST00000666888	Q9BTC0-3	0
ENST00000436771	O43623	1
ENST00000566684	P36402	1
ENST00000428828	Q99583	1
ENST00000664235	P03372	1
ENST00000659435	O94953	0
ENST00000561916	Q14765	1
ENST00000446355	Q9UKT9-8	0
ENST00000413070	Q8IYS5-2	0
ENST00000416076	Q9ULB4	0
ENST00000538731	O14901	1
ENST00000652065	Q92738	0
ENST00000457171	P49336	1
ENST00000508936	Q9H3D4	1
ENST00000452288	P05412	1
ENST00000691125	Q92750-2	0
ENST00000629828	P16220	1
ENST00000414098	Q96QS6	0
ENST00000579713	P09086	1
ENST00000455967	Q8WVM7	1
ENST00000652836	Q9ULH1-2	0
ENST00000360656	P17535	1
ENST00000440013	Q6ZN18	1
ENST00000488348	A0A804HI63	0
ENST00000664877	A0A804HJM5	0
ENST00000649093	O95782	0
ENST00000561101	O60907	1
ENST00000607583	O94806	0
ENST00000554808	P32519	1
ENST00000597034	U3KQ90	0
ENST00000413339	P78545	1
ENST00000441644	O60907	1
ENST00000421206	P56545	1
ENST00000411862	Q16236	1
ENST00000515414	Q00839	1
ENST00000424735	Q9UQE7	1
ENST00000498308	P38398	1
ENST00000692826	Q9HD43-3	0
ENST00000598478	Q96NG5-2	0
ENST00000420917	P52747	1
ENST00000676006	Q7Z3Z4	0
ENST00000442850	Q92800	1
ENST00000620496	P26196	0
ENST00000440088	Q96RD6-1	0
ENST00000579745	P17535	1
ENST00000577408	Q8NBJ9	0
ENST00000669140	Q8IU85-2	0
ENST00000495159	P41235	1
ENST00000492731	P41235	1
ENST00000421851	Q9UKL0	1
ENST00000607590	A0A7I2RLJ8	0
ENST00000542980	P08047	1
ENST00000664592	Q9UEY8	0
ENST00000666186	A0A590UJQ3	0
ENST00000438318	Q12824	1
ENST00000468377	Q9H342	0
ENST00000432626	P56270	1
ENST00000425296	P20719	1
ENST00000693293	B0FWH6	0
ENST00000535487	Q9UH73	1
ENST00000515487	P10244	1
ENST00000514287	Q99496	1
ENST00000649160	Q4G0M1	0
ENST00000693586	Q9P055-2	0
ENST00000667059	Q96IZ2-2	0
ENST00000445083	Q9H3D4	1
ENST00000662633	Q13309-4	0
ENST00000662416	Q9ULG6-3	0
ENST00000451440	P30559	0
ENST00000608064	A0A8I5KW95	0
ENST00000442328	P51610	1
ENST00000666991	O75030-4	0
ENST00000456026	Q13887	1
ENST00000512115	O14503	1
ENST00000543651	Q92731	1
ENST00000662412	A0A7P0T9V8	0
ENST00000525381	Q13886	1
ENST00000653622	P10275	1
ENST00000667943	A0A0G2JN35	0
ENST00000627910	P10275	1
ENST00000441146	O75030	1
ENST00000503320	Q9H3D4	1
ENST00000686493	C9JMJ4	0
ENST00000641507	A0A804HKD9	0
ENST00000444039	Q92831	1
ENST00000666188	Q9BYN8	0
ENST00000539206	Q8IU81	0
ENST00000547094	P48378	1
ENST00000567905	F6X827	0
ENST00000690368	H7BXQ2	0
ENST00000671237	Q9Y576	0
ENST00000446211	P35659	1
ENST00000511243	Q8NFY4-3	0
ENST00000500800	Q00534	1
ENST00000542680	Q14653	1
ENST00000443576	P04637	1
ENST00000588060	P31274	1
ENST00000556762	G0XQ39	0
ENST00000608609	Q9H334	1
ENST00000685887	Q9UL40-3	0
ENST00000627922	Q02078-6	0
ENST00000431427	Q76N32	0
ENST00000688813	B0FWH6	0
ENST00000661525	P54274-2	0
ENST00000436942	P11308	1
ENST00000436893	Q9H7Z6	1
ENST00000432957	O75164	1
ENST00000441001	P31274	1
ENST00000453549	P17480	1
ENST00000442636	O14978	1
ENST00000421894	P51522	1
ENST00000512916	P35227	1
ENST00000417324	Q15910	1
ENST00000620327	Q9NSD9-2	0
ENST00000521292	Q96MM3	1
ENST00000462176	P04637	1
ENST00000663757	Q99487	0
ENST00000457171	Q8N6T7	1
ENST00000521373	Q15022	1
ENST00000510850	B2RXF0	0
ENST00000366259	P15336	1
ENST00000436433	O95936	1
ENST00000420537	P10275	1
ENST00000455390	O43474	1
ENST00000411433	O75461	1
ENST00000414407	Q13127	1
ENST00000593284	Q8N196	1
ENST00000651822	E9PSD0	0
ENST00000456627	P17275	1
ENST00000422038	Q8N5R6-5	0
ENST00000534587	P50539	1
ENST00000563280	P23511	1
ENST00000665257	A0A0D2X7Z3	0
ENST00000669738	O14978	1
ENST00000420367	Q13285	1
ENST00000625832	H7BXT4	0
ENST00000426358	O00482	1
ENST00000585258	P15408	1
ENST00000432957	Q9Y261	1
ENST00000537346	O95983	1
ENST00000667183	F8WAS2	0
ENST00000520096	P13942-4	0
ENST00000526642	P42224	1
ENST00000653302	E7ENJ7	0
ENST00000638682	Q02078	1
ENST00000655782	P01106	1
ENST00000623666	Q96A83-2	0
ENST00000658080	P30307	0
ENST00000449457	Q92993	1
ENST00000455711	Q13761	1
ENST00000428573	F8VXI8	0
ENST00000669319	Q9Y2I2-6	0
ENST00000425296	P26368	1
ENST00000649946	Q76N32	0
ENST00000371813	P54198	1
ENST00000637313	O75446	1
ENST00000663765	Q9ULW3	0
ENST00000427300	Q02246	0
ENST00000436373	P39880	1
ENST00000427918	Q8ND94	0
ENST00000664847	Q9H714-3	0
ENST00000505921	Q15561	1
ENST00000514287	P49716	1
ENST00000546686	P51522	1
ENST00000433933	Q16621	1
ENST00000456337	Q15853	1
ENST00000416989	P04637	1
ENST00000656919	Q09013	0
ENST00000542022	Q8NI51	1
ENST00000422483	P03372	1
ENST00000644298	A0A087WW23	0
ENST00000655730	P19438-2	0
ENST00000671327	E7ETR1	0
ENST00000563932	Q14651	0
ENST00000624521	Q9Y223-3	0
ENST00000659144	H7C1V4	0
ENST00000447949	P08263	0
ENST00000656121	Q9UKL0	1
ENST00000631195	P18846	1
ENST00000616333	Q9UL49	1
ENST00000616957	Q14966	0
ENST00000443744	Q15910	1
ENST00000557232	P32519	1
ENST00000656609	P04439-2	0
ENST00000602322	P10589	1
ENST00000425454	P35398	1
ENST00000556072	P28698	1
ENST00000420364	P11308	1
ENST00000430970	A0A087WSX8	0
ENST00000450264	Q16621	1
ENST00000587218	P40763	1
ENST00000692478	H7C085	0
ENST00000664156	Q9UBN4-7	0
ENST00000660421	P25440	0
ENST00000439736	Q9HC52	1
ENST00000515860	Q06455	1
ENST00000655310	A0A8I5QJN8	0
ENST00000691192	Q12824	1
ENST00000437677	P15172	1
ENST00000653926	Q17RY0-3	0
ENST00000580790	Q9NZI5	1
ENST00000439703	Q8WUI4-10	0
ENST00000693620	A0A087WVT3	0
ENST00000412730	P09630	1
ENST00000691856	Q8NFU1	0
ENST00000657516	A0A126GW86	0
ENST00000656433	Q9H300	0
ENST00000506195	P26358-3	0
ENST00000687951	Q9Y5F7	0
ENST00000532454	P68400	1
ENST00000554808	Q92804	1
ENST00000655070	P04278	0
ENST00000451099	Q00056	1
ENST00000520323	P28360	1
ENST00000412647	Q9H582	1
ENST00000454380	P05067-5	0
ENST00000445873	P09630	1
ENST00000458264	Q13485	1
ENST00000658638	Q5JSD1	0
ENST00000569860	Q8IYI6	0
ENST00000635764	P25490	1
ENST00000478294	Q8TD47	0
ENST00000359838	P13631	1
ENST00000667346	P49639	1
ENST00000426489	A0A376A8X2	0
ENST00000663342	P41235	1
ENST00000690045	P06401	1
ENST00000464382	Q00613	1
ENST00000320372	Q15910	1
ENST00000478103	A0A8I5KV71	0
ENST00000530430	A0A1B0GVS8	0
ENST00000451348	O14503	1
ENST00000685556	Q8TB36-2	0
ENST00000662235	H3BSA7	0
ENST00000419719	Q9UBX7-4	0
ENST00000451564	P48382	1
ENST00000542449	Q9H490	0
ENST00000478366	Q15047	1
ENST00000429268	O14503	1
ENST00000653708	Q5SXM1	0
ENST00000480284	Q13363	1
ENST00000619135	A0A087WVX5	0
ENST00000506304	P31268	1
ENST00000507796	P49639	1
ENST00000601195	A0A0A0MTP0	0
ENST00000669765	Q8NH08	0
ENST00000689759	P35659	1
ENST00000659319	Q6K0P9-2	0
ENST00000519500	O14647	1
ENST00000433499	O60885	1
ENST00000515808	E5RGT6	0
ENST00000447565	P19838	1
ENST00000648347	Q9UPN6-2	0
ENST00000665970	Q01955-4	0
ENST00000428134	P41235	1
ENST00000511758	H0YNW1	0
ENST00000525233	P15407	1
ENST00000432697	Q16254	1
ENST00000525678	P49711	1
ENST00000539514	P43699	1
ENST00000684851	A0A2U3TZL3	0
ENST00000585478	H0YF92	0
ENST00000524987	O43474	1
ENST00000442889	Q02078	1
ENST00000417798	E9PG84	0
ENST00000511758	O94979-5	0
ENST00000643571	O95218	0
ENST00000417715	P32243	1
ENST00000514791	Q4JDL3-6	0
ENST00000565129	D3YTC9	0
ENST00000434996	Q9H9S0	1
ENST00000653321	A0A2R8Y5X0	0
ENST00000658960	E9PLQ2	0
ENST00000431460	Q13887	1
ENST00000640838	P24588	0
ENST00000526089	Q9BZE3	1
ENST00000443196	P31268	1
ENST00000627886	P23769	1
ENST00000526150	P0DN82	0
ENST00000653549	Q9UBS3	0
ENST00000654294	E9PB18	0
ENST00000454228	P20226	1
ENST00000442179	Q702N8-3	0
ENST00000582685	A0A0U1RQK4	0
ENST00000647710	Q86VR7	0
ENST00000669006	P23771	1
ENST00000581170	Q7Z465-2	0
ENST00000513576	Q14683	1
ENST00000663507	Q6P656	0
ENST00000428656	Q00613	1
ENST00000607854	J3QLE4	0
ENST00000647598	Q08050	1
ENST00000582249	O75030	1
ENST00000456499	Q9BZE9	0
ENST00000668917	Q0D2K0	0
ENST00000667115	A0A7I2V3M4	0
ENST00000655362	Q15561	1
ENST00000655362	P43694	1
ENST00000558436	O60381	1
ENST00000428643	Q96RD9-3	0
ENST00000687979	A0A087WXG3	0
ENST00000423232	P40426	1
ENST00000665713	B2RXF0	0
ENST00000424690	O14647	1
ENST00000449391	Q9BZS1	1
ENST00000596669	Q9Y4P8-5	0
ENST00000415283	P06401	1
ENST00000639976	Q9P127	0
ENST00000546558	H3BSK3	0
ENST00000428777	Q99081	1
ENST00000515487	Q9UGL1	1
ENST00000504436	Q9H7Z6	1
ENST00000668179	P56177	1
ENST00000425648	Q99704	0
ENST00000433770	P56270	1
ENST00000432783	P54578-2	0
ENST00000566787	Q9BW11	1
ENST00000419591	O94983	1
ENST00000659588	Q5JUK3-2	0
ENST00000510879	P10275	1
ENST00000441845	P17947	1
ENST00000506612	P08047	1
ENST00000578829	P98187	0
ENST00000442753	O95238	1
ENST00000510198	M0R2K9	0
ENST00000360656	Q96ST3	1
ENST00000615826	P56270	1
ENST00000430666	P23769	1
ENST00000539404	A0A804HIX9	0
ENST00000514459	Q12824	1
ENST00000662702	Q9Y4C2	0
ENST00000624520	Q86V40-2	0
ENST00000479626	Q9H9S0	1
ENST00000606277	P22415	1
ENST00000450847	Q9UJ78-5	0
ENST00000435434	P49711	1
ENST00000430001	P20594	0
ENST00000607407	Q9Y4K0	0
ENST00000454401	P35227	1
ENST00000417591	P23769	1
ENST00000661436	A0A0C4DFM2	0
ENST00000557232	Q92830	1
ENST00000669319	Q9Y2H0-1	0
ENST00000671649	E9PFU5	0
ENST00000442889	P42229	1
ENST00000567491	P25208	1
ENST00000414132	Q9NVV4	0
ENST00000513958	O96028	1
ENST00000658922	C9J2Q2	0
ENST00000511875	Q9H334	1
ENST00000419784	P48382	1
ENST00000585832	P15336	1
ENST00000559022	Q06413	1
ENST00000662567	Q13362-5	0
ENST00000441769	Q9HC52	1
ENST00000665476	Q9Y2X9	1
ENST00000565120	Q9HCM4-4	0
ENST00000650320	Q92831	1
ENST00000666886	P01106	1
ENST00000686674	J3KP92	0
ENST00000624054	Q9NUQ6-2	0
ENST00000492725	Q13263	1
ENST00000638682	P20719	1
ENST00000660335	Q5T011-4	0
ENST00000560378	A0A1B0GVR6	0
ENST00000693036	Q96C74	0
ENST00000666565	E9PQY1	0
ENST00000624961	P49903-4	0
ENST00000659067	P28482	0
ENST00000532061	Q92731	1
ENST00000412178	Q00839	1
ENST00000579437	P35637-2	0
ENST00000433952	Q03701	1
ENST00000635092	Q8IUC8-3	0
ENST00000563759	P10275	1
ENST00000660285	O15244-2	0
ENST00000635706	Q8IXR9	0
ENST00000412918	P14921	1
ENST00000445450	A0A8I5KS86	0
ENST00000670968	M0R009	0
ENST00000559946	Q9H334	1
ENST00000444586	Q8N4A0	0
ENST00000656280	Q9Y5G6	0
ENST00000559520	P09630	1
ENST00000601433	Q96FV3-4	0
ENST00000423120	A0A0A0MSE2	0
ENST00000670788	A0A6E1W127	0
ENST00000558436	Q99626	1
ENST00000688796	O43293-2	0
ENST00000599264	Q5JT25	0
ENST00000501300	A2RRH5-4	0
ENST00000670647	Q12952	0
ENST00000483245	Q9NZC4	1
ENST00000445039	P09630	1
ENST00000689153	A0A0C4DGF9	0
ENST00000456633	P17676	1
ENST00000665747	Q8NGG5	0
ENST00000428794	P19447	1
ENST00000411690	P55317	1
ENST00000665188	Q8N3Z3	0
ENST00000454005	Q14469	1
ENST00000442850	P25208	1
ENST00000505436	O94818-2	0
ENST00000444217	Q12772	1
ENST00000496552	Q13547	1
ENST00000657433	H0Y5R6	0
ENST00000447297	P15976	1
ENST00000575126	P01106	1
ENST00000420498	Q9H3H9	0
ENST00000453558	P43699	1
ENST00000666684	A0A087WYZ5	0
ENST00000422971	P10244	1
ENST00000591129	Q9UGC7	0
ENST00000509568	O14646	1
ENST00000423539	B4DS77	0
ENST00000424982	P35659	1
ENST00000594089	A0A2R8YD30	0
ENST00000415255	P41182	1
ENST00000667944	G3V2G0	0
ENST00000513673	Q15910	1
ENST00000591920	Q8N485	0
ENST00000411690	P05412	1
ENST00000655624	P43694	1
ENST00000520443	A0A1W2PSD3	0
ENST00000411433	P14921	1
ENST00000427379	P36402	1
ENST00000564843	O75132	1
ENST00000635301	Q92754	1
ENST00000449713	P08047	1
ENST00000436893	P01106	1
ENST00000659043	A0A087WYX6	0
ENST00000414992	Q15029	1
ENST00000548215	O60216	1
ENST00000564560	Q8IY22-2	0
ENST00000556013	Q9H334	1
ENST00000566054	O96028	1
ENST00000412353	Q01892	1
ENST00000492725	Q9H334	1
ENST00000453579	Q8IYT4	0
ENST00000439198	Q9UGL1	1
ENST00000553095	O95243	1
ENST00000656097	C9JTV6	0
ENST00000645707	I3L2N2	0
ENST00000439736	P24468	1
ENST00000517397	O60641-3	0
ENST00000623515	Q13887	1
ENST00000671419	Q8N5D0-6	0
ENST00000542984	Q9Y5J3	1
ENST00000433182	O14647	1
ENST00000559022	P10244	1
ENST00000642293	A6NKZ2	0
ENST00000669738	P09086	1
ENST00000523643	A0A8I5KTF2	0
ENST00000555299	Q9HC52	1
ENST00000670950	A0A5S8K7D6	0
ENST00000415082	P51532	1
ENST00000662416	Q9BR26	0
ENST00000542984	P51610	1
ENST00000625381	Q8TF44	0
ENST00000434182	P28324	1
ENST00000432330	P31271	1
ENST00000517711	Q9H257	0
ENST00000508505	P41235	1
ENST00000606277	O75444	1
ENST00000513758	P20226	1
ENST00000429254	P19793	1
ENST00000431171	O14646	1
ENST00000644612	Q9BZE3	1
ENST00000605147	Q9H3D4	1
ENST00000457602	P31260	1
ENST00000510551	Q9NYF8	1
ENST00000598376	P68400	1
ENST00000421851	Q07687	1
ENST00000445391	P17676	1
ENST00000650008	P30039-2	0
ENST00000439079	P11831	1
ENST00000447975	P17676	1
ENST00000647691	Q99665	0
ENST00000517512	A0A1W2PQJ2	0
ENST00000514459	P32519	1
ENST00000638682	P49407	1
ENST00000587125	P15408	1
ENST00000526089	Q14209	1
ENST00000606054	Q13351	1
ENST00000604200	Q99081	1
ENST00000589259	P36402	1
ENST00000391707	Q8TF68	1
ENST00000651573	Q02487	0
ENST00000527474	C9JHD8	0
ENST00000685346	A0A2U3TZI3	0
ENST00000426963	R4GNG2	0
ENST00000542689	Q15291	1
ENST00000561632	Q4R9M9	0
ENST00000568270	Q96S55	1
ENST00000560129	Q9Y2J4	0
ENST00000598933	O94983	1
ENST00000445350	O15371	1
ENST00000414992	P54274	1
ENST00000415193	P43694	1
ENST00000547006	Q99856	1
ENST00000578490	Q59GD8	0
ENST00000686481	Q8NDT2	1
ENST00000655209	P16220	1
ENST00000434541	O15034	0
ENST00000520323	Q92826	1
ENST00000665931	Q12894-2	0
ENST00000621777	Q86YV0-2	0
ENST00000453273	Q5W064	0
ENST00000451340	Q8N6T7	1
ENST00000650214	J3QQP4	0
ENST00000435932	Q99581	1
ENST00000558269	Q9C019	0
ENST00000664491	O00499-9	0
ENST00000416894	O75475	1
ENST00000531710	Q96J02	0
ENST00000551588	Q9ULX6	0
ENST00000669664	Q99626	1
ENST00000648520	A0A3B3IRS8	0
ENST00000667404	P14651-3	0
ENST00000663011	Q9H3H9	0
ENST00000517714	Q5EBL4	0
ENST00000666689	A0A8I5KRZ1	0
ENST00000654048	O94760	0
ENST00000631195	Q00534	1
ENST00000445873	Q01196	1
ENST00000434139	O43464	0
ENST00000422761	P52945	1
ENST00000438551	Q9Y294	1
ENST00000609157	Q15111-2	0
ENST00000670889	Q8NDV3-2	0
ENST00000688061	F2Z2X2	0
ENST00000505718	O75461	1
ENST00000626921	P20848	0
ENST00000464673	O95238	1
ENST00000655183	A0A2R8Y7Z3	0
ENST00000693317	B1AQP1	0
ENST00000508424	O95760	0
ENST00000660660	Q6PEX3	0
ENST00000432249	P42224	1
ENST00000602759	H7BXX2	0
ENST00000429916	G3XAP6	0
ENST00000563759	Q96AV8	1
ENST00000503017	E9PC90	0
ENST00000557778	O75164	1
ENST00000455671	P08047	1
ENST00000660367	A0A8I5QJC1	0
ENST00000606351	O75864	0
ENST00000654364	A0A2R8YDU7	0
ENST00000685773	A0A087WUE2	0
ENST00000443783	P67809	1
ENST00000413637	Q9UBN7	1
ENST00000668037	A0A1W2PS62	0
ENST00000418854	E7EUF1	0
ENST00000660378	A0A669KBB4	0
ENST00000320372	Q10570	1
ENST00000415330	Q92831	1
ENST00000581579	Q9BTC8	1
ENST00000652775	O43306	0
ENST00000573207	A0A087WXE9	0
ENST00000574411	Q9NZR1-2	0
ENST00000664439	A0A7I2Y4M9	0
ENST00000514413	Q8IZJ4-2	0
ENST00000502518	P08047	1
ENST00000446058	O15379	1
ENST00000564168	P51532	1
ENST00000655879	Q9NQ79-3	0
ENST00000556163	Q7L2K0-2	0
ENST00000439507	H7C5R6	0
ENST00000426709	A6ND91	0
ENST00000510879	P17676	1
ENST00000689670	O15405-2	0
ENST00000414938	Q00534	1
ENST00000250776	G5E9U8	0
ENST00000630064	H0YKT0	0
ENST00000512521	P25490	1
ENST00000526478	Q13432-2	0
ENST00000517653	Q9UHB9-2	0
ENST00000655982	O60830-2	0
ENST00000661594	P62508	0
ENST00000612170	P83369	1
ENST00000605298	A0A1B0GUD6	0
ENST00000660946	Q9UPN4-2	0
ENST00000526612	H0Y2S9	0
ENST00000659207	J3KSY2	0
ENST00000542466	Q10586	1
ENST00000438824	P25490	1
ENST00000633674	Q9NQV6-5	0
ENST00000488201	P15036	1
ENST00000541404	Q96AV8	1
ENST00000665796	F5H7I4	0
ENST00000449391	O75626	1
ENST00000582965	Q9BTC8	1
ENST00000517704	Q15853	1
ENST00000649553	P23219-2	0
ENST00000535921	Q96M69	0
ENST00000659414	F5GXM0	0
ENST00000657282	A0A0A6YYB3	0
ENST00000414969	Q9UPP1	1
ENST00000432981	P50548	1
ENST00000668080	H0YL11	0
ENST00000510795	P08151	1
ENST00000555852	Q92908	1
ENST00000644612	Q5VWG9	1
ENST00000429254	P35269	1
ENST00000555852	Q96ST3	1
ENST00000456782	P15172	1
ENST00000440887	P40763	1
ENST00000427173	Q96AV8	1
ENST00000579368	P06400	1
ENST00000664189	A0A6Q8PH10	0
ENST00000473876	P49715	1
ENST00000421735	Q14188	1
ENST00000685516	Q96RN1-3	0
ENST00000609975	O95876-3	0
ENST00000659803	Q8TDW4-7	0
ENST00000690883	Q15583	0
ENST00000668648	Q9H2W2	1
ENST00000423708	A0A1W2PR48	0
ENST00000456273	Q13485	1
ENST00000669759	A0A0G2JNG3	0
ENST00000454167	Q13886	1
ENST00000449023	Q15291	1
ENST00000665007	Q5VTL7	0
ENST00000666188	A0A5H1ZRR2	0
ENST00000581471	A0A7P0TAR4	0
ENST00000416722	Q13263	1
ENST00000417910	Q9Y4J8-6	0
ENST00000691192	P01106	1
ENST00000488201	Q9UGY1	1
ENST00000456090	Q15853	1
ENST00000658488	A0A087X044	0
ENST00000462928	Q14644-2	0
ENST00000633808	A0A8I5QJC1	0
ENST00000431095	Q53F23	0
ENST00000300167	Q02246	0
ENST00000653174	Q96F45-3	0
ENST00000466292	O75593	1
ENST00000623105	M0QYM9	0
ENST00000582249	Q92826	1
ENST00000690805	A0A8I5QJA6	0
ENST00000580403	H7C0R3	0
ENST00000511875	P48378	1
ENST00000654350	P26232-6	0
ENST00000663152	Q5VZK9-3	0
ENST00000556002	Q9HC98-4	0
ENST00000658922	Q06124-1	0
ENST00000624760	O95096	1
ENST00000453347	P19419	1
ENST00000664653	Q99856	1
ENST00000324988	Q9UGL1	1
ENST00000635439	Q02297-12	0
ENST00000420876	Q02548	1
ENST00000629836	Q9H6R4-4	0
ENST00000602767	Q16656	1
ENST00000663630	A0A0G2JNB4	0
ENST00000614728	A8K855	0
ENST00000663655	A0A494C043	0
ENST00000655777	O95232	0
ENST00000606200	Q53EL9	0
ENST00000434547	Q96S55	1
ENST00000519726	P10914	1
ENST00000442753	P41225	1
ENST00000437109	Q9UBN7	1
ENST00000569238	I3L2N2	0
ENST00000688893	H0YKM4	0
ENST00000626198	P39880	1
ENST00000671402	A0A0G2JNR7	0
ENST00000654469	F8W8F7	0
ENST00000444086	O75164	1
ENST00000449391	O95365	1
ENST00000505908	Q13127	1
ENST00000631988	Q5SXM1	0
ENST00000513542	O14503	1
ENST00000664685	P30874-2	0
ENST00000691884	Q99714	0
ENST00000535109	Q8IZV5	0
ENST00000411862	P10914	1
ENST00000313737	Q01892	1
ENST00000577023	Q9UIX4	0
ENST00000657127	P49757-8	0
ENST00000511846	P11831	1
ENST00000661173	O14524	0
ENST00000432377	O43474	1
ENST00000686545	Q53GL7	0
ENST00000670967	Q9UGL1	1
ENST00000685838	Q8NB50-2	0
ENST00000564381	Q9NVV9	1
ENST00000669664	Q99583	1
ENST00000652418	Q6UX72	0
ENST00000660680	Q96GC6-4	0
ENST00000465466	Q96DT7	1
ENST00000555725	P36543	0
ENST00000431650	P43268	1
ENST00000664550	Q92769	1
ENST00000601293	Q13698	0
ENST00000552026	P11161	1
ENST00000584910	Q5EB52-3	0
ENST00000434832	P25490	1
ENST00000443471	P10644-2	0
ENST00000515706	P0DMS9-2	0
ENST00000660947	P35453	0
ENST00000657585	Q99463	0
ENST00000449713	Q13595	1
ENST00000594152	Q9P0V8	0
ENST00000586938	Q86SQ3-2	0
ENST00000662118	Q9Y305	0
ENST00000530492	H0YKI3	0
ENST00000438065	Q9HCE1	1
ENST00000553596	Q9Y261	1
ENST00000418004	Q9NUQ6-2	0
ENST00000559752	Q15797	1
ENST00000616957	Q96N38	0
ENST00000414890	Q9UBN7	1
ENST00000582246	P49336	1
ENST00000479030	Q16254	1
ENST00000413185	P48200-2	0
ENST00000451176	C9JRH2	0
ENST00000455977	Q15648	1
ENST00000510317	Q6UN15	1
ENST00000566787	Q15306	1
ENST00000607583	P98187	0
ENST00000589471	O15047	0
ENST00000686559	Q92754	1
ENST00000602361	Q00534	1
ENST00000522857	Q9UBL9-6	0
ENST00000421585	Q06546	1
ENST00000586961	Q16515	0
ENST00000690121	Q9Y5W5	0
ENST00000510551	P10589	1
ENST00000617730	Q9NQ29	0
ENST00000659002	Q8NH40	0
ENST00000416894	O75530	1
ENST00000566787	Q15797	1
ENST00000512965	E9PHY0	0
ENST00000658547	C9JHD8	0
ENST00000658774	Q05932-2	0
ENST00000437763	A0A8I5KQS8	0
ENST00000423869	Q00653	1
ENST00000564834	O95243	1
ENST00000525512	P06280	0
ENST00000521061	P84996	0
ENST00000667874	Q9P2F8	0
ENST00000605833	P39880	1
ENST00000509496	F5GXM0	0
ENST00000659423	A8MU33	0
ENST00000416432	Q92754	1
ENST00000547554	P35869	1
ENST00000447776	P17097	0
ENST00000495159	P25208	1
ENST00000559946	O75940	1
ENST00000432981	P35637	1
ENST00000642440	C9J2C0	0
ENST00000367563	P23769	1
ENST00000653380	Q13547	1
ENST00000297163	O96004	1
ENST00000408887	P33076	1
ENST00000656669	Q6ZNA5-2	0
ENST00000628201	B4E1E0	0
ENST00000442329	Q99933-3	0
ENST00000506304	Q13547	1
ENST00000668839	B4DPG6	0
ENST00000646488	A0AVL1	0
ENST00000632077	P10070	1
ENST00000639327	A0A7I2V668	0
ENST00000664305	P25942-2	0
ENST00000629058	Q16665	1
ENST00000506014	Q86XR2-3	0
ENST00000664038	Q7Z465-2	0
ENST00000580790	Q15029	1
ENST00000412311	Q14999	0
ENST00000623884	Q8IYT4	0
ENST00000414890	Q96S55	1
ENST00000429007	Q9Y5J3	1
ENST00000604485	P49711	1
ENST00000656981	A0A7P0TB22	0
ENST00000445785	Q9H161	1
ENST00000421585	P03372	1
ENST00000597164	A6PVS8	0
ENST00000423329	P35637	1
ENST00000564843	Q92800	1
ENST00000576080	P40763	1
ENST00000658867	A0A7I2V407	0
ENST00000413718	P51532	1
ENST00000451564	Q16630	1
ENST00000457061	P23771	1
ENST00000414634	H0Y4B0	0
ENST00000641162	Q9H7X0-2	0
ENST00000441414	Q8N6T7	1
ENST00000518988	Q07812-2	0
ENST00000415652	P40424	1
ENST00000670110	H0Y702	0
ENST00000690889	P06340	0
ENST00000446001	P17735	1
ENST00000687118	O94898	0
ENST00000567905	P62508	0
ENST00000659935	Q8WY36	0
ENST00000659955	Q6Q6R5	0
ENST00000394240	Q9UJQ4	1
ENST00000658051	Q9Y275-2	0
ENST00000655952	A0A7I2YQG2	0
ENST00000647691	Q9UIF7-4	0
ENST00000453417	H0Y7H7	0
ENST00000558081	Q9UHG3-2	0
ENST00000641755	H7C5R5	0
ENST00000541404	P15408	1
ENST00000591332	O60921	0
ENST00000662855	Q8IUA7-2	0
ENST00000419784	P15408	1
ENST00000660711	Q13492-4	0
ENST00000449838	A0A7P0Z468	0
ENST00000579154	A8MVS5	0
ENST00000440664	Q9Y692	1
ENST00000483245	Q13263	1
ENST00000634357	P10070	1
ENST00000512130	A6NNT0	0
ENST00000656282	F8VQE1	0
ENST00000431803	Q00839	1
ENST00000671452	Q8WXD0-2	0
ENST00000598376	O95096	1
ENST00000691946	Q8N109	0
ENST00000530150	O14647	1
ENST00000439097	P32243	1
ENST00000647629	A0A087WW66	0
ENST00000457602	Q01892	1
ENST00000588275	P56270	1
ENST00000665065	G3V5Z7	0
ENST00000442434	P42224	1
ENST00000641158	Q9NUQ3	0
ENST00000669598	A6NEP9	0
ENST00000571890	Q9UBB5	1
ENST00000419535	Q01860	1
ENST00000581633	O60568	0
ENST00000686805	H7BYF2	0
ENST00000667093	O43432-3	0
ENST00000693295	A2RUB1-5	0
ENST00000663389	A0A7P0T9Q0	0
ENST00000525381	P49716	1
ENST00000444039	Q01860	1
ENST00000644133	I3L0S0	0
